Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]	psi[1]	psi[2]	psi[3]
1650000	-23.30092	0	-23.30092	0.0805724	0.108765	0.159376	0.618176	0.141869	0.109305	1.06643	0.707008	0.0888433
1660000	-19.98034	0	-19.98034	0.0412012	0.134696	0.125089	0.206313	0.0898242	0.259464	1.80344	2.18271	2.01929
1670000	-20.96607	0	-20.96607	0.137221	0.124614	0.200478	0.238412	0.0931526	0.0894151	2.01766	0.670177	0.200083
1680000	-18.1071	0	-18.1071	0.195729	0.128241	0.14159	0.332896	0.105444	0.0938771	1.78121	3.39422	0.708834
1690000	-24.00448	0	-24.00448	0.190271	0.118283	0.283184	0.259047	0.220978	0.0871637	3.7086	2.35351	0.93506
1700000	-24.13213	0	-24.13213	0.188184	0.106863	0.359528	0.407167	0.161157	0.151339	1.12161	0.637755	0.656751
1710000	-19.89914	0	-19.89914	0.0488532	0.310479	0.22172	0.269109	0.293213	0.146948	1.45478	0.955774	4.28199
1720000	-22.49682	0	-22.49682	0.126006	0.0823934	0.116299	0.316738	0.108492	0.107512	2.17568	0.388294	0.126321
1730000	-33.35611	0	-33.35611	0.0755926	0.186828	0.114788	0.133097	0.0524723	0.266714	1.6627	0.261084	0.245931
1740000	-17.92639	0	-17.92639	0.0798142	0.106418	0.23183	0.249561	0.102383	0.0614443	2.25275	0.925386	2.13586
1750000	-15.07043	0	-15.07043	0.136084	0.208036	0.169237	0.18834	0.12719	0.102512	2.62704	1.36932	0.873686
1760000	-17.59116	0	-17.59116	0.124229	0.198048	0.145596	0.211872	0.107584	0.146585	4.37947	0.297865	1.78258
1770000	-24.03813	0	-24.03813	0.184074	0.128173	0.174656	0.242308	0.166013	0.135765	2.92398	2.47748	0.165122
1780000	-16.11098	0	-16.11098	0.0763552	0.167052	0.232999	0.2606	0.216586	0.0777566	1.49885	1.57715	0.951767
1790000	-27.89479	0	-27.89479	0.050354	0.305218	0.245567	0.117884	0.12813	0.04853	1.31881	0.993361	0.432803
1800000	-19.04693	0	-19.04693	0.14439	0.128938	0.123541	0.377465	0.0876153	0.0922557	1.00492	0.809561	1.98929
1810000	-18.70632	0	-18.70632	0.0418173	0.142565	0.306634	0.219093	0.0835382	0.196373	2.14485	1.32762	2.11688
1820000	-22.04049	0	-22.04049	0.127272	0.0991229	0.452857	0.496116	0.118684	0.063361	4.31514	1.44189	0.651954
1830000	-18.88454	0	-18.88454	0.254224	0.231599	0.250604	0.232871	0.153176	0.101309	4.95646	0.929931	0.749778
1840000	-18.33724	0	-18.33724	0.0769946	0.121131	0.180757	0.594126	0.0603122	0.0731935	3.98039	1.03453	1.30633
1850000	-15.81125	0	-15.81125	0.140928	0.292618	0.144099	0.241264	0.191898	0.0910398	3.31647	1.65879	1.05247
1860000	-20.09026	0	-20.09026	0.14202	0.228458	0.12849	0.179526	0.0674335	0.0730833	2.57726	0.940221	0.459116
1870000	-17.37208	0	-17.37208	0.0794905	0.0673132	0.132396	0.348376	0.200018	0.160277	2.36723	2.88028	0.840933
1880000	-19.6495	0	-19.6495	0.0996484	0.139465	0.0961197	0.167187	0.225865	0.217913	1.12667	1.79799	3.43942
1890000	-21.92757	0	-21.92757	0.0999425	0.138918	0.144707	0.183863	0.515669	0.0881071	2.70903	1.84124	1.28469
1900000	-17.46946	0	-17.46946	0.0776058	0.244876	0.135895	0.335674	0.0488669	0.0584617	1.67324	0.967455	0.771077
1910000	-18.40934	0	-18.40934	0.0638478	0.0713079	0.0963321	0.482428	0.0608256	0.144399	4.75853	1.56473	0.713783
1920000	-17.95955	0	-17.95955	0.208037	0.186505	0.281754	0.153586	0.161498	0.114748	2.031	2.76594	0.961847
1930000	-26.1207	0	-26.1207	0.0454848	0.452803	0.337476	0.322984	0.0987091	0.0536316	1.23326	0.538203	0.731689
1940000	-22.30741	0	-22.30741	0.0863296	0.475245	0.116723	0.11439	0.117057	0.145874	2.19724	1.70392	2.86129
1950000	-16.20012	0	-16.20012	0.205146	0.156635	0.189994	0.313302	0.123106	0.0923527	1.83025	2.40089	0.457388
1960000	-25.7557	0	-25.7557	0.240041	0.129228	0.293665	0.368669	0.18802	0.106117	1.97819	0.444679	2.38217
1970000	-17.23057	0	-17.23057	0.079521	0.14462	0.256708	0.301538	0.186218	0.112426	1.18247	1.93387	0.384173
1980000	-21.31722	0	-21.31722	0.117339	0.104075	0.30875	0.18407	0.181602	0.282569	1.64559	0.697803	1.66305
1990000	-14.75518	0	-14.75518	0.137241	0.120674	0.111048	0.160475	0.126402	0.145579	1.06786	1.90412	1.58625
2000000	-25.23904	0	-25.23904	0.213394	0.290386	0.319073	0.515066	0.0697057	0.057577	1.04148	0.634751	1.58233
2010000	-15.43899	0	-15.43899	0.0877865	0.108029	0.220486	0.210935	0.14663	0.204016	2.46487	1.91851	1.47607
2020000	-16.66652	0	-16.66652	0.166864	0.193108	0.173773	0.203115	0.218775	0.0786192	2.44179	2.73536	0.918185
2030000	-19.11277	0	-19.11277	0.0520925	0.0984511	0.197394	0.316654	0.0789296	0.0754426	0.772712	1.03468	1.2204
